sa2_maincode_2016, sa2_name,compound_score,pos_score,neu_score,neg_score,fid, median_aud,geometry, rent_mortgage_payments_census_average_monthly_household_payment, health_care_card, jobseeker_payment
206011105,Brunswick,0.13593878448620547,0.12065393842463028,0.8329230307876847,0.046423030787685005,680,51576.0,"POLYGON ((144.9497404700001 -37.76276897499997, 144.9500285280001 -37.76105302699995, 144.950180076 -37.76016911499994, 144.9503262220001 -37.75931595099996, 144.9500848470001 -37.75928738599998, 144.9501560590001 -37.75893176099993, 144.950306037 -37.75809537599997, 144.950439153 -37.75737787199995, 144.9506517650001 -37.75623285199998, 144.9506612920001 -37.75619649899994, 144.950673958 -37.75616073899994, 144.9506896890001 -37.75612573699993, 144.950698705 -37.75610860599994, 144.9507189620001 -37.75607511999993, 144.950730204 -37.75605882199994, 144.950742103 -37.75604283799998, 144.9507680180001 -37.75601190599997, 144.9507965610001 -37.75598245399993, 144.9508117820001 -37.75596835699997, 144.9508275860001 -37.75595466699997, 144.9508609830001 -37.75592865599998, 144.9508785400001 -37.75591635299998, 144.950915149 -37.75589322799993, 144.9509536930001 -37.75587219399995, 144.9510238830001 -37.75584128099996, 144.9511980980001 -37.75578026699998, 144.9517088790001 -37.75562074199996, 144.9519343390001 -37.75554864799994, 144.952219149 -37.75543165399995, 144.9527317180001 -37.75521527699993, 144.9532015460001 -37.75501889999998, 144.953277466 -37.75497803299993, 144.9534013100001 -37.75489722599997, 144.953512197 -37.75480533599995, 144.953608302 -37.75470480699994, 144.953709115 -37.75456071099995, 144.9538315360001 -37.75432951599998, 144.9538603340001 -37.75423157699998, 144.9539747980001 -37.75424498999996, 144.95481251 -37.75434344699994, 144.9557758540001 -37.75445675899994, 144.9564598280001 -37.75453677199994, 144.956740842 -37.75456977599998, 144.95752154 -37.75466186899996, 144.9582258070001 -37.75474474899994, 144.9587272440001 -37.75480365299995, 144.9590648330001 -37.75484331699994, 144.960096761 -37.75496473199996, 144.9615427450001 -37.75513470999994, 144.961736779 -37.75515740899993, 144.9621799250001 -37.75520952399995, 144.9638967760001 -37.75541454099994, 144.9641174550001 -37.75545638799997, 144.9648167580001 -37.75554011899993, 144.9659951970001 -37.75568121899994, 144.967372488 -37.75583463899994, 144.967527978 -37.75585199199998, 144.968120848 -37.75591803699996, 144.969414043 -37.75606213399993, 144.970408084 -37.75617287499995, 144.9711445810001 -37.75625492199998, 144.9723294070001 -37.75638690099998, 144.973318338 -37.75649706799993, 144.973934641 -37.75656581499993, 144.974048776 -37.75657850599998, 144.974868128 -37.75666976599996, 144.9761108440001 -37.75681728499995, 144.976610785 -37.75687665199996, 144.9769838510001 -37.75692095899996, 144.9766270270001 -37.75901208799996, 144.975754421 -37.75891024499998, 144.9751356370001 -37.75883802099997, 144.9751350890001 -37.75884514399996, 144.9751005600001 -37.75883532099994, 144.974511524 -37.75876522399994, 144.9739655930001 -37.75870125099993, 144.973910003 -37.75901599199995, 144.9738900010001 -37.75913200499997, 144.9738775180001 -37.75921125899998, 144.9740860060001 -37.75923499499993, 144.974079984 -37.75927600899996, 144.974046002 -37.75946600399993, 144.9739976400001 -37.75974705599998, 144.9738259070001 -37.75972707599993, 144.9736200110001 -37.76087799799996, 144.973597345 -37.76100226299997, 144.9735086860001 -37.76110240299994, 144.973347137 -37.76203439599993, 144.9733986020001 -37.76204042699993, 144.9730681310001 -37.76387553499995, 144.9730629840001 -37.76390400599996, 144.972945382 -37.76455835099995, 144.972809309 -37.76532867299994, 144.9727322580001 -37.76576562399998, 144.972592207 -37.76655951499998, 144.972307471 -37.76813612199993, 144.9721919850001 -37.76877699899995, 144.972170997 -37.76889399299995, 144.9719809420001 -37.76994612499993, 144.9718635580001 -37.77056198899993, 144.9717177770001 -37.77140601499997, 144.9716513830001 -37.77178807699994, 144.9716266730001 -37.77193034199996, 144.9716090070001 -37.77203299799993, 144.97150031 -37.77266123999993, 144.9713859190001 -37.77339406199997, 144.9712747040001 -37.77410385199994, 144.9712152080001 -37.77448761599993, 144.971141478 -37.77496029099996, 144.9711332290001 -37.77501284899995, 144.9710150420001 -37.77577010999994, 144.9710474540001 -37.77586965799998, 144.970952847 -37.77652191299995, 144.9709228800001 -37.77672870499998, 144.970848603 -37.77724222799998, 144.9706963250001 -37.77829201099996, 144.9705908030001 -37.77890907899996, 144.9705257960001 -37.77928910599996, 144.9690030160001 -37.77910874899993, 144.9680967580001 -37.77923898899996, 144.9676419680001 -37.77931870599997, 144.9677126680001 -37.77894855799997, 144.967216816 -37.77888869199995, 144.9659865470001 -37.77874028499997, 144.9651942050001 -37.77864462099996, 144.9639409050001 -37.77849342099995, 144.963335881 -37.77842040099995, 144.9624821450001 -37.77831739299995, 144.9616315860001 -37.77821475499996, 144.961472884 -37.77819560699993, 144.9602337450001 -37.77804422199995, 144.959901486 -37.77800588999997, 144.9592609480001 -37.77792861599994, 144.958094992 -37.77778781199993, 144.9564596820001 -37.77759039899996, 144.9551253880001 -37.77742926299993, 144.954179928 -37.77731515599993, 144.953146614 -37.77719035499996, 144.952397707 -37.77709990799997, 144.9516670490001 -37.77701168199997, 144.950296328 -37.77684614399993, 144.9496531980001 -37.77676814699998, 144.9494331760001 -37.77674217399993, 144.9494042680001 -37.77673832599993, 144.948793915 -37.77569233599996, 144.9488935600001 -37.77516351299994, 144.9489798100001 -37.77470595199998, 144.949141797 -37.77384492499993, 144.949332181 -37.77283401099993, 144.94956976 -37.77161722999995, 144.94985497 -37.77015591399993, 144.9492860810001 -37.77008620699996, 144.9487670510001 -37.77002271399994, 144.948535933 -37.76999444699993, 144.9486495580001 -37.76936860999996, 144.9487101840001 -37.76903477799993, 144.9488603090001 -37.76820810499999, 144.9488761130001 -37.76812100699993, 144.948961013 -37.76760628099998, 144.9490118570001 -37.76729831199998, 144.949141432 -37.76651298699994, 144.9493095510001 -37.76549781799997, 144.9493775870001 -37.76506271599993, 144.9494198540001 -37.76479263499994, 144.9494290880001 -37.76467832399993, 144.9494359140001 -37.76459599899994, 144.949437739 -37.76457329899995, 144.9497404700001 -37.76276897499997))",2240.0,3644,1964
206041118,Docklands,0.14354943303708215,0.1119911124731841,0.8508377260190012,0.037171161507814784,693,51342.0,"POLYGON ((144.9323839900001 -37.81927400699993, 144.9328690020001 -37.81802199999998, 144.9334370150001 -37.81647299599996, 144.9337429940001 -37.81551299399996, 144.9338480050001 -37.81514700799994, 144.9339549860001 -37.81470099199998, 144.9340229860001 -37.81436299699993, 144.934094015 -37.81389999699996, 144.934135005 -37.81371000199994, 144.9342658930001 -37.81290567799994, 144.934437845 -37.81267968199995, 144.9346948780001 -37.81191764799996, 144.934670898 -37.81053164699995, 144.9346938560001 -37.81031364199998, 144.934720866 -37.81015663299996, 144.9350199840001 -37.80945899799997, 144.9354310100001 -37.80951200099997, 144.935962998 -37.80957199599993, 144.9367980080001 -37.80972600799998, 144.9372330150001 -37.80984599999994, 144.937913995 -37.81005299599997, 144.938512012 -37.81027399699997, 144.939106012 -37.81051999099998, 144.94010301 -37.81097899499997, 144.9408250160001 -37.81133399199996, 144.9413670050001 -37.81160399899994, 144.9420290050001 -37.81195100299993, 144.9428779950001 -37.81245300099994, 144.943026989 -37.81250500499993, 144.943187004 -37.81254000699994, 144.943340012 -37.81254500099993, 144.943529009 -37.81252000799998, 144.943718007 -37.81246700599996, 144.9447179970001 -37.81207900499993, 144.9449460120001 -37.81205299399994, 144.945085004 -37.81206300299993, 144.9452489990001 -37.81209299099993, 144.9454459900001 -37.81186199999996, 144.946021704 -37.81164155399995, 144.94782349 -37.81095642499997, 144.948111475 -37.81153421699997, 144.9482461230001 -37.81165239499995, 144.9492894030001 -37.81256805299995, 144.95032874 -37.81347993599996, 144.951435347 -37.81316682399995, 144.951646792 -37.81362730699993, 144.9518072820001 -37.81397690099993, 144.9518906850001 -37.81415851599996, 144.952340766 -37.81513664799996, 144.9527921980001 -37.81611809199995, 144.953239689 -37.81709198699997, 144.9536945880001 -37.81808168199996, 144.9539139530001 -37.81855890799994, 144.9541490500001 -37.81906982199996, 144.9543931610001 -37.81960114199995, 144.95462136 -37.82009843999998, 144.955074982 -37.82109906899996, 144.9551534570001 -37.82126554999996, 144.955357528 -37.82169893099996, 144.955734975 -37.82251994199993, 144.9559870800001 -37.82305324199996, 144.9552679930001 -37.82334550499996, 144.9543910440001 -37.82355557299996, 144.9533241130001 -37.82370440499994, 144.952204184 -37.82372958299993, 144.949812703 -37.82353999599997, 144.949195087 -37.82346375699996, 144.9483642370001 -37.82337786099998, 144.9479349970001 -37.82338809199996, 144.9479217850001 -37.82376945099998, 144.9480351530001 -37.82420999099998, 144.9480682950001 -37.82431394299994, 144.9480970940001 -37.82445785499993, 144.948122644 -37.82456343399997, 144.9481071680001 -37.82475494599998, 144.947970001 -37.82523500299993, 144.9478649900001 -37.82523500299993, 144.947733006 -37.82525300299994, 144.947562004 -37.82529499799995, 144.9473409960001 -37.82530900199998, 144.9472520100001 -37.82530400799993, 144.9469930050001 -37.82529799499997, 144.9462150080001 -37.82524499299996, 144.946004987 -37.82523000799995, 144.9451961830001 -37.82514690599993, 144.9444603430001 -37.82507103699993, 144.9437508200001 -37.82499777699996, 144.9436813240001 -37.82498760199996, 144.9436136160001 -37.82497283899994, 144.9435474050001 -37.82495339599996, 144.943483676 -37.82492973399997, 144.943422831 -37.82490174399993, 144.9433649050001 -37.82486970199994, 144.9433108860001 -37.82483397799996, 144.943056992 -37.82463399299996, 144.9430369160001 -37.82461806399994, 144.9426357450001 -37.82432112099997, 144.9423699880001 -37.82410700199995, 144.942008018 -37.82397500399998, 144.940514985 -37.82366000499997, 144.939879009 -37.82352599099994, 144.9378519820001 -37.82309699499996, 144.937130012 -37.82294000299999, 144.936796658 -37.82290940499996, 144.9365019930001 -37.82284700399998, 144.932714644 -37.82205279899995, 144.9314715630001 -37.82179187499997, 144.9318220360001 -37.82083734899993, 144.9318599960001 -37.82073698599993, 144.932166377 -37.81986578499993, 144.9323839900001 -37.81927400699993))",2408.0,851,531
206041122,Melbourne,0.13524705837203288,0.09624118279157348,0.8753802816901398,0.028378535518286688,697,28068.0,"POLYGON ((144.964889649 -37.80687042299996, 144.9651113860001 -37.80689417699995, 144.9658523730001 -37.80697302399994, 144.9673436530001 -37.80713339999994, 144.9680475560001 -37.80720828799997, 144.9688465040001 -37.80729392499995, 144.9709369320001 -37.80751832999994, 144.971283609 -37.80755540399997, 144.971363654 -37.80772808299997, 144.9716781740001 -37.80840681099994, 144.972140046 -37.80940401599997, 144.972380763 -37.80992377399997, 144.9724712830001 -37.81011924499995, 144.9725893240001 -37.81037402599998, 144.972734046 -37.81068615899994, 144.9730461580001 -37.81135970699995, 144.9734986850001 -37.81233621099994, 144.9736236240001 -37.81260575599998, 144.973952636 -37.81331558199997, 144.974106374 -37.81364750899996, 144.974409871 -37.81430298299995, 144.974446918 -37.81437975699998, 144.9745592290001 -37.81462508599998, 144.974656319 -37.81483445099997, 144.974867398 -37.81528982799995, 144.974739977 -37.81531439599996, 144.9736340630001 -37.81563975599994, 144.972381968 -37.81600964499995, 144.970346873 -37.81661093199995, 144.969902668 -37.81673558499995, 144.96932126 -37.81690487799995, 144.967439868 -37.81745253399998, 144.968251664 -37.81922418599993, 144.9679766 -37.81924242699995, 144.9671776150001 -37.81933944099995, 144.9664166260001 -37.81945245799994, 144.966316653 -37.81946644399994, 144.9653816320001 -37.81961344499996, 144.964774893 -37.81971216099998, 144.9644227050001 -37.81976945499997, 144.9636846740001 -37.81992546499998, 144.9630286600001 -37.82010147499994, 144.9613827290001 -37.82051446899993, 144.9606227260001 -37.82075448699993, 144.9600027370001 -37.82104449299993, 144.9590307420001 -37.82151248799994, 144.9580842240001 -37.82197378599994, 144.9578507700001 -37.82208750499996, 144.9569133040001 -37.82259100099998, 144.9559870800001 -37.82305324199996, 144.955734975 -37.82251994199993, 144.955357528 -37.82169893099996, 144.9551534570001 -37.82126554999996, 144.955074982 -37.82109906899996, 144.95462136 -37.82009843999998, 144.9543931610001 -37.81960114199995, 144.9541490500001 -37.81906982199996, 144.9539139530001 -37.81855890799994, 144.9536945880001 -37.81808168199996, 144.953239689 -37.81709198699997, 144.9527921980001 -37.81611809199995, 144.952340766 -37.81513664799996, 144.9518906850001 -37.81415851599996, 144.9518072820001 -37.81397690099993, 144.951646792 -37.81362730699993, 144.951435347 -37.81316682399995, 144.951908752 -37.81303343799993, 144.952674523 -37.81281761799994, 144.953096025 -37.81269882899994, 144.95333426 -37.81262769699998, 144.9539215450001 -37.81246617299996, 144.9542808140001 -37.81236501499995, 144.9549464290001 -37.81217744399993, 144.9564465420001 -37.81175481099996, 144.9560566490001 -37.81091552199996, 144.95594485 -37.81067459599996, 144.955473707 -37.80965985199998, 144.955392823 -37.80948698899994, 144.955594815 -37.80827927199994, 144.955685699 -37.80772377199997, 144.9559875910001 -37.80587819399994, 144.957112667 -37.80600151499993, 144.958253 -37.80614100399998, 144.958457765 -37.80614968099997, 144.9595040370001 -37.80629324099993, 144.9599364160001 -37.80633960199998, 144.9608174900001 -37.80643335999997, 144.961416856 -37.80649761099994, 144.9618420090001 -37.80654400899994, 144.962453748 -37.80660966499994, 144.9628971870001 -37.80665626699994, 144.9633730740001 -37.80670727099994, 144.964371021 -37.80681423799996, 144.964889649 -37.80687042299996))",1841.0,2725,1672
207011149,Camberwell,0.123439650872818,0.11049542809642557,0.8390290939318371,0.050475477971737334,724,57447.0,"POLYGON ((145.0576189940001 -37.82653699599996, 145.0577454300001 -37.82587260499997, 145.0578466080001 -37.82534154399997, 145.057947567 -37.82481553299993, 145.0581007940001 -37.82400908099993, 145.0581925550001 -37.82352850699993, 145.058593544 -37.82139047999993, 145.059812498 -37.82154345699996, 145.0604705200001 -37.82162444999994, 145.061637535 -37.82177045199995, 145.0639084910001 -37.82205340899998, 145.0643064880001 -37.82209841999997, 145.0650444810001 -37.82218440799994, 145.0657094740001 -37.82226142299993, 145.0659334750001 -37.82228441899997, 145.066019469 -37.82228639899995, 145.0661044410001 -37.82228240199998, 145.0661884640001 -37.82227339299993, 145.066822469 -37.82214339399997, 145.0673334690001 -37.82203638999994, 145.067364275 -37.82213229299998, 145.0674332960001 -37.82236903799998, 145.0674892510001 -37.82255610999994, 145.0675828000001 -37.82274504999998, 145.0675429060001 -37.82274044399998, 145.0678732670001 -37.82341597199996, 145.0678989270001 -37.82347579999998, 145.0679205350001 -37.82353738699993, 145.0679363390001 -37.82359482999993, 145.0679505380001 -37.82366298399995, 145.0679587500001 -37.82372658699995, 145.067961853 -37.82397853799995, 145.0678181520001 -37.82467704299995, 145.067819576 -37.82474362399995, 145.0678764060001 -37.82476328899997, 145.067964371 -37.82481434999994, 145.068016238 -37.82476243899998, 145.0681229270001 -37.82464862699993, 145.0684868320001 -37.82456311999994, 145.0688698270001 -37.82538918099993, 145.068970494 -37.82560940599996, 145.0692519820001 -37.82557699399996, 145.0695247470001 -37.82554632099993, 145.0706482530001 -37.82549609299997, 145.071079208 -37.82548188499993, 145.0711565880001 -37.82549191199996, 145.071175021 -37.82568460799996, 145.0714654880001 -37.82615939199997, 145.0718229690001 -37.82657429099993, 145.0720713510001 -37.82707362499997, 145.0723953620001 -37.82787075299996, 145.0721780040001 -37.82784400199995, 145.071904656 -37.82781059099995, 145.0718992540001 -37.82787781999997, 145.0718509280001 -37.82812908699998, 145.0719108970001 -37.82813706099995, 145.0718882310001 -37.82815311799993, 145.071765883 -37.82841548599998, 145.071620357 -37.82863160299996, 145.0715855000001 -37.82868708399997, 145.0715218070001 -37.82894273599993, 145.0716709100001 -37.82924369399996, 145.071616744 -37.82936988199998, 145.071640287 -37.82937267599993, 145.0716404320001 -37.82939293299995, 145.071780082 -37.82952898199994, 145.0716413450001 -37.82960096599993, 145.0716458710001 -37.82985027199993, 145.0717588750001 -37.82986353599995, 145.073573655 -37.83007643399998, 145.0741586400001 -37.83014497599993, 145.0741479820001 -37.83023299999996, 145.074041585 -37.83088449599995, 145.0734658340001 -37.83081519499996, 145.0734342980001 -37.83080905299994, 145.0733942210001 -37.83101780599998, 145.0731879960001 -37.83207961399995, 145.072956951 -37.83205863499995, 145.0728450050001 -37.83204599999993, 145.072023208 -37.83194687699995, 145.0720192660001 -37.83212664099995, 145.072099456 -37.83213620499998, 145.072091536 -37.83217734999994, 145.0722319880001 -37.83233600599993, 145.0721980060001 -37.83251399399995, 145.072270021 -37.83270300899994, 145.0722020940001 -37.83305963299995, 145.0721865820001 -37.83315189199993, 145.0727528430001 -37.83321414499994, 145.0731380640001 -37.83326291099996, 145.0743666540001 -37.83340846899995, 145.0759837500001 -37.83359574399998, 145.076249543 -37.83362652899996, 145.076330062 -37.83363570499995, 145.076644145 -37.83367090999997, 145.0779945710001 -37.83382227699997, 145.078399941 -37.83387156099997, 145.0786098880001 -37.83389548199995, 145.0794110270001 -37.83398674199998, 145.0813654560001 -37.83420935299995, 145.0824894000001 -37.83425597299998, 145.0837011640001 -37.83430475699998, 145.084930922 -37.83444417299995, 145.0850443640001 -37.83445586499994, 145.0855825560001 -37.83451933899994, 145.0861844410001 -37.83459032299993, 145.0869236760001 -37.83467605199996, 145.0879005620001 -37.83479065999995, 145.088450361 -37.83485463199997, 145.0889077060001 -37.83490783799994, 145.0898967100001 -37.83502274199998, 145.090884583 -37.83513690599995, 145.0910348530001 -37.83515435099997, 145.0916427240001 -37.83522489199999, 145.092042545 -37.83527117899996, 145.092359073 -37.83530793799997, 145.092517228 -37.83532610499998, 145.092910004 -37.83537159699995, 145.0934189970001 -37.83543000099996, 145.0935979200001 -37.83545127599996, 145.0939151050001 -37.83548797999998, 145.0945180120001 -37.83555800299996, 145.0955293170001 -37.83567473699998, 145.096959972 -37.83584033099993, 145.0982072490001 -37.83597808199994, 145.098154762 -37.83626830999998, 145.098010076 -37.83706749199996, 145.0977166890001 -37.83869280899995, 145.097537511 -37.83968694399994, 145.0973715450001 -37.84060448799994, 145.097200433 -37.84155327899998, 145.0971198410001 -37.84199883299993, 145.09709911 -37.84211368099994, 145.0968704370001 -37.84337913699994, 145.0968521140001 -37.84348120099997, 145.096752432 -37.84403616399993, 145.096560443 -37.84509515999997, 145.096545952 -37.84517631899996, 145.0963844400001 -37.84607118299994, 145.0963574660001 -37.84622117999993, 145.0963054900001 -37.84650617299997, 145.096220482 -37.84698217799996, 145.096185514 -37.84717119299995, 145.096057071 -37.84789350599993, 145.096011373 -37.84814882499995, 145.0958545320001 -37.84902518799998, 145.0957970080001 -37.84936299899994, 145.095686523 -37.84996421099993, 145.095611552 -37.85038721399997, 145.0940335470001 -37.85024106399993, 145.0938099480001 -37.85021649599997, 145.0926705640001 -37.85009130699996, 145.0924797790001 -37.85007032799996, 145.091962574 -37.85001244099993, 145.09152253 -37.84996323099995, 145.091062447 -37.84990859999994, 145.089927006 -37.84977399499996, 145.0885125940001 -37.84960575599996, 145.0883699890001 -37.84958899399993, 145.0870855530001 -37.84943618499994, 145.0856862160001 -37.84926996199994, 145.0845338380001 -37.84913306199996, 145.0841785110001 -37.84909077099996, 145.0831190260001 -37.84896485999997, 145.082237404 -37.84886018699996, 145.0819929640001 -37.84883103099997, 145.0808208030001 -37.84869176299998, 145.0795070950001 -37.84853562299998, 145.0784870660001 -37.84842917399993, 145.0772369770001 -37.84829219999995, 145.0756265240001 -37.84811743099993, 145.0748709380001 -37.84803543899994, 145.0744338870001 -37.84798478599998, 145.0725426030001 -37.84777739999998, 145.070470096 -37.84755005399995, 145.06951 -37.84744412299995, 145.0685458890001 -37.84733774799997, 145.06780399 -37.84725399799999, 145.067084977 -37.84717206199997, 145.0664519940001 -37.84710100399997, 145.0659229260001 -37.84704191399993, 145.064467452 -37.84687902199994, 145.0630447190001 -37.84671962599998, 145.0620248360001 -37.84660542599994, 145.0611279940001 -37.84650502599993, 145.0607763530001 -37.84646565799994, 145.0598158560001 -37.84635800699994, 145.059515644 -37.84632444799996, 145.0584511210001 -37.84620519699996, 145.057961875 -37.84615038099997, 145.0567570100001 -37.84601499799993, 145.0565672460001 -37.84599414799993, 145.05452175 -37.84576487799995, 145.053977936 -37.84570364299998, 145.054112914 -37.84499363199996, 145.054246905 -37.84429464599998, 145.0543499080001 -37.84375063499994, 145.054419733 -37.84338505599993, 145.0544859070001 -37.84303864399993, 145.054737903 -37.84172164699993, 145.0548428770001 -37.84116562999998, 145.055017858 -37.84025263699994, 145.055091843 -37.83986162099995, 145.0551988610001 -37.83930262499996, 145.0552629920001 -37.83896586899994, 145.0553797920001 -37.83835361199993, 145.0555607590001 -37.83740361799994, 145.0556178090001 -37.83710062499995, 145.0557447550001 -37.83642361699998, 145.0559277300001 -37.83544561499997, 145.0559540830001 -37.83530359099996, 145.0560507350001 -37.83478562699997, 145.0561107410001 -37.83446861199997, 145.0562187080001 -37.83389061599996, 145.056292694 -37.83349262599995, 145.05637376 -37.83305874499996, 145.056422706 -37.83279659999994, 145.0566956900001 -37.83134259299993, 145.0567719380001 -37.83094715499993, 145.056835631 -37.83061659699996, 145.056958526 -37.82997980899995, 145.0569830910001 -37.82985247299996, 145.057069669 -37.82940860299993, 145.0573192920001 -37.82811347299997, 145.057326629 -37.82807058999998, 145.0573396230001 -37.82802058499993, 145.057354624 -37.82792858399995, 145.0575785890001 -37.82675155899994, 145.0576189940001 -37.82653699599996))",2718.0,1389,555
